,mold_temp,melt_temp,injection_speed,hold_pressure,defect
75,23.84,279.98,54.59,132.98,Y
76,24.38,277.29,57.41,132.9,Y
77,29.19,279.54,55.23,133.15,Y
78,23.55,277.98,55.38,134.64,Y
79,25.31,281.5,57.84,135,Y
80,28.6,275.64,53.58,136.53,Y
81,28.01,277.95,53,133.83,Y
82,28.98,281.8,53.54,133.98,N
83,24.3,278.63,57.41,138.17,Y
84,26.61,273.83,57.6,133.27,Y
85,23.06,274.5,55.55,133.34,Y
86,28.29,278.66,54.46,135.55,Y
87,21.55,277.44,53.08,135.79,Y
88,29.53,281.46,55.04,136.89,Y
89,29.35,278.83,57.06,133.91,Y
90,26.92,275.22,57.2,134.32,Y
91,21.81,277.67,54.25,137.35,Y
92,22.83,274.12,55.23,138.11,Y
93,23.06,272.8,55.8,135.51,Y
94,29.47,274.29,53.1,137.99,Y
95,28.74,274.08,53.87,136.82,Y
96,27.18,276.87,54.27,138.5,N
97,23.57,277.65,53.13,133.45,Y
98,22.87,276.58,57.52,133.48,Y
99,26.77,279.95,52.88,134.94,Y
100,28.88,277.47,52.4,136.59,Y
101,20.62,275.75,55.56,137.45,Y
102,23.64,276.58,55.23,138.43,N
103,20.74,277.56,53.45,134.65,Y
104,29.91,277.19,54.12,138.12,Y
105,28.66,275.19,52.19,133.37,Y
106,28.34,277.45,55.53,134.3,Y
107,20.92,274.06,53.81,136.51,Y
108,30.32,279.75,54.43,134.26,Y
109,24.49,282.06,54.23,134.93,N
110,20.61,278.99,56.69,138.52,N
111,28.07,276.78,52.87,137.11,Y
112,21.8,276.02,57.79,136.12,Y
113,26.66,274.34,56.27,133.75,Y
114,26.45,274.2,56.07,133.46,Y
115,26.91,275.45,55.63,133.82,Y
116,26.72,279.7,53.8,135.51,Y
117,22.06,277.96,55.79,136.08,Y
118,27.94,279.38,56.78,137.69,Y
119,21.65,272.83,52.76,132.86,Y
120,23.64,276.4,53.29,135.74,Y
121,30.5,278.36,56.59,136.98,Y
122,25.33,272.84,57.45,137.94,Y
123,21.17,277.27,53.81,137.54,Y
124,26.3,279.98,53.7,132.84,Y
125,29.6,277.59,53.08,132.81,Y
126,21.68,280.12,53.17,136.9,Y
127,30.17,273.42,52.33,134.57,Y
128,26.97,277.49,53.45,137.87,Y
129,27.71,276.06,54.17,132.71,Y
130,29.99,281.3,52.1,138.06,Y
131,24.09,272.36,55.06,132.8,Y
132,28.3,274.95,53.36,138.18,Y
133,23.26,277.25,56.81,137.02,Y
134,26.41,275.97,53.85,136.41,Y
135,29.16,280.05,55.15,133.65,Y
136,26.61,272.31,54.53,137.11,Y
137,28.68,275.51,54.29,135.4,Y
138,26.03,278.69,52.65,133.46,Y
139,28.1,281.73,57.54,136.48,Y
140,27.73,279.37,57.6,134.12,Y
141,28.28,280.39,54.85,137.75,Y
142,26.45,280.23,54.9,137.54,Y
143,30.44,275.39,54.69,137.57,Y
144,27.72,272.25,56.05,137.03,Y
145,29.49,276.35,55.87,138.08,Y
146,27.61,276.83,55.41,138.4,Y
147,23.47,280.38,55.59,134.53,Y
148,28.92,281.24,54.28,138.07,Y
149,29.42,274.04,55.87,138.13,Y
150,29.77,274.28,56.74,138.16,Y
151,24.98,278.6,56.06,132.94,Y
152,22.06,273.65,52.35,136.16,Y
153,21.36,272.38,54.42,136.19,Y
154,24.75,274.47,55.79,138.31,Y
155,27.91,272.98,57.11,137.9,Y
156,24.21,278.33,53.31,137.8,Y
157,21.01,275.07,56.3,137.5,Y
158,30.46,281.98,52.14,132.81,N
159,28.92,276.89,55.52,136.23,Y
160,21.82,278.11,54.36,133.13,Y
161,30.08,280.79,57.51,138.32,Y
162,21.31,278.23,53.55,134.56,Y
163,29.01,274.12,57.82,133.69,Y
164,29.5,279.6,57.33,134.5,Y
165,21.58,275.09,52.76,138.36,Y
166,25.72,275.4,55.74,137.85,Y
167,20.99,273.75,55.42,136.97,Y
168,22.46,279.42,52.6,134.45,Y
169,20.59,276.81,54.36,138.38,Y
170,22.32,281.33,54.34,138.31,Y
171,26.74,279.14,57.02,135.72,Y
172,24.29,281.69,57.39,135.88,Y
173,23.95,277.56,54.49,137.11,Y
174,23.75,274.83,52.04,138.39,Y
175,26.08,275.8,54.4,136.82,Y
176,21.68,279.15,57.17,135.88,Y
177,20.57,278.57,55.21,137.92,Y
178,23.95,275.88,56.64,136.28,Y
179,23.76,273.51,54.33,134.58,Y
180,21.01,274.35,51.93,135.93,Y
181,20.83,276.47,52.33,137.89,Y
182,30.36,274.21,53.43,133.36,Y
183,29.21,278.73,52.18,134.7,Y
184,22.07,279.66,54.91,136.73,Y
185,24.84,275.06,56.87,135.24,Y
186,27.89,272.37,52.21,132.68,Y
187,21.96,281.77,54.12,134.54,Y
188,28.24,275.21,52.07,135.76,Y
189,30.5,273.23,52.84,134.77,Y
190,22.5,272.79,53.58,135.69,Y
191,20.85,278.49,56.62,137.88,Y
192,23.56,276.7,55.77,137.16,Y
193,29.84,281.34,53.88,134.69,Y
194,23.86,280.43,55.36,134.24,Y
195,22.24,276.72,56.05,137.34,Y
196,21.55,272.22,57.13,136.93,Y
197,30.03,280.8,53.16,136.44,Y
198,23.12,275.72,55.36,136.81,Y
199,25.97,277.32,55.55,138.07,Y
200,24.28,279.82,52.89,137.35,Y
201,24,276.47,55.86,138.16,Y
202,22.51,280.98,57.6,136.13,Y
203,29.07,278.72,55.51,136.84,Y
204,21.67,281.36,52.32,136.65,Y
205,24.96,281.23,52.26,136.01,Y
206,26.56,273.11,57.22,134.39,Y
207,25.94,273.76,53.39,136.82,Y
208,30.07,276.6,56.02,136.81,Y
209,21.46,281.36,54.49,134,Y
210,21.42,277.63,52.86,136.81,Y
211,21.28,273.18,52.89,137.86,Y
212,23.69,277.47,53.6,133.52,Y
213,24.24,279.26,54.84,132.8,Y
214,23.79,280.83,52.56,134.45,Y
215,21.61,274.77,55.78,136.09,Y
216,26.05,281.76,57.4,135.86,Y
217,25.89,280.24,53.52,133.5,Y
218,27.85,274.87,54.12,132.94,Y
219,26.48,279.01,53.51,135.97,Y
220,30.21,280.73,56.49,137.49,Y
221,25.83,278.71,57.03,138.18,Y
222,28.98,276.91,51.95,135.68,Y
223,22.7,278.74,53.4,137.07,Y
224,23.57,277.97,57.03,136.01,Y
225,26.59,272.48,52.9,134.24,Y
226,28.35,275.9,54.68,136.02,Y
227,28.88,275.66,56.76,133.72,Y
228,25.9,277.97,55.39,136.47,Y
229,27.93,272.66,52.72,134.18,Y
230,20.72,275.15,53.68,134.06,Y
231,28.4,278.61,56.19,137.96,Y
232,22.9,277.8,55.34,137.42,Y
233,23.36,274.6,57.81,137.24,Y
234,29.67,274.03,55.33,135.89,Y
235,26.64,278.22,53.7,133.64,Y
236,25.15,280.57,56.51,136.3,Y
237,26.64,278.67,53.16,138.29,Y
238,25.08,279.88,53.39,138.53,N
239,28.9,277.18,57.08,134.07,Y
240,26.29,278.96,56.08,135.77,Y
241,26.83,275.54,53.21,133.03,Y
242,23.73,272.96,57.87,136.03,Y
243,28.61,275.99,55.74,137.06,Y
244,23.59,275.56,54.71,133.83,Y
245,26.82,278.42,53.34,133.53,Y
246,26.91,279.87,54.94,137.72,Y
247,27.69,277.47,56.85,133.89,Y
248,24.5,280.85,53.76,137.93,Y
249,25.43,274.67,56.09,134.13,Y
250,23.59,278.1,52.95,137.71,Y
251,29.38,276.95,56.05,134.24,Y
252,27.37,274.44,54.03,134.13,Y
253,29.34,277.02,54.26,133.4,Y
254,27.62,272.18,53.99,134.75,Y
255,25.89,281.38,55.18,135.52,Y
256,20.8,278.69,57.87,135.93,Y
257,25.69,281.45,55.81,136.25,Y
258,22.41,274.16,54.38,138.28,Y
259,30.04,272.94,53.87,134.98,Y
260,29.65,274.94,57.3,134.17,Y
261,27.75,278.17,54.17,138.25,Y
262,28.85,276.38,54.49,133.89,Y
263,27.26,275.39,52.67,134.07,Y
264,23.84,277.77,55.79,134.35,Y
265,27.85,279.49,55.49,134.78,Y
266,24.43,277.62,55.6,135.8,Y
267,21.69,276.85,54.3,135.86,Y
268,28.52,279.83,53.64,138.4,Y
269,25.97,280.71,55.87,133,Y
270,28.97,276.34,52.87,135.35,Y
271,27.94,272.77,57.27,133.77,Y
272,28.75,272.61,54.78,136.95,Y
273,24.51,273.1,54.65,135.07,Y
274,21.35,272.56,55.86,136.52,Y
275,21.71,273.9,51.99,133.76,Y
276,27.7,281.9,55.48,136.19,N
277,27.47,280.09,52.25,137.68,Y
278,28.27,280.26,54.68,135.64,Y
279,20.81,274.33,52.09,138.07,Y
280,28.85,275.98,54.14,134.99,Y
281,29.85,277.86,56.27,137.4,Y
282,23.84,272.71,55.11,133.3,Y
283,28.87,281.73,53.13,138.03,Y
284,28.65,278,55.64,132.93,Y
285,24.22,274.31,53.01,135.04,Y
286,28.57,279.55,57.28,134.78,Y
287,25.39,281.9,57.36,133.06,N
288,26.61,280.57,56.06,134.44,Y
289,28.31,272.25,51.92,132.95,Y
290,24.14,273.99,54.14,137.85,Y
291,28.93,281.77,54.32,134.5,Y
292,27.88,275.32,53.53,137.86,Y
293,20.74,273.16,53.02,133.93,Y
294,25.54,278.1,52.01,135.91,Y
295,25.15,274.9,54.58,137.84,Y
296,24.85,276.81,56.58,138.51,N
297,24.19,272.45,55.36,133.82,Y
298,24.97,272.68,57.42,136.38,Y
299,29.7,281.61,54.63,137.35,Y
300,26.15,272.99,55.93,136.8,Y
301,28.02,273.05,57.84,136.18,Y
302,27.15,276.38,52.11,133.21,Y
303,24.32,272.54,52.22,135.06,Y
304,30.36,272.79,54.76,133.34,Y
305,26.82,281.89,53.76,134.85,N
306,26.9,281.61,56.42,134.01,Y
307,27.67,273.1,56.32,132.99,Y
308,20.87,272.42,57.8,136.84,Y
309,29.91,279.57,56.6,137.64,Y
310,23.83,277.72,53.53,137.2,Y
311,24.31,278.05,52.29,134.66,Y
312,29.17,273.86,56.17,136.7,Y
313,28.19,281.13,57.77,134.76,Y
314,26.97,278.79,57.53,135.93,Y
315,29.16,279.76,53,134.48,Y
316,29.3,279.27,55.73,133.9,Y
317,28.52,281.25,51.97,134.85,Y
318,21.01,274.01,53.59,133.65,Y
319,29.59,273.17,54.08,138.62,N
320,24.34,279.27,53.91,135.96,Y
321,26.37,276.34,53.79,132.72,Y
322,23.61,280.57,55.02,135.53,Y
323,22.87,276.28,55.17,136.98,Y
324,20.62,275.07,55,136.34,Y
325,20.62,274.14,55.87,135.77,Y
326,29.96,281.41,57.87,133.26,Y
327,21.94,275.9,52.05,137.68,Y
328,20.58,274.79,52.83,138.06,Y
329,22.55,273.35,56.06,133.96,Y
330,27.21,278.37,54.14,138.6,N
331,21.24,277.8,57.19,135.95,Y
332,30.47,275.57,53.92,137.8,Y
333,28.12,277.27,53.55,132.69,Y
334,27.48,278.39,56.07,132.98,Y
335,21.69,278.91,54.73,138.14,Y
336,27.45,275.66,55.72,135.55,Y
337,23.44,275.35,52.16,134.93,Y
338,27.84,275.28,57.24,136.75,Y
339,28.45,278.29,57.34,136.98,Y
340,24.9,280.73,52.9,136.29,Y
341,22.06,275.44,57.76,136.49,Y
342,25.35,274.01,53.38,137.63,Y
343,24.52,281.47,51.98,134.06,Y
344,28.7,276.99,55.47,136.64,Y
345,21.71,276.95,57.4,134.72,Y
346,20.81,280.89,55.83,134.96,Y
347,27.98,277.96,52.5,134.86,Y
348,26.46,279.6,55.27,133.77,Y
349,29.35,272.86,54.04,136.71,Y
350,23.98,273.14,53.86,133.43,Y
351,26.71,275.85,55.23,133.95,Y
352,23.45,275.54,53.15,135.28,Y
353,20.95,276.47,55.01,135.62,Y
354,29.43,279.3,53.75,134.37,Y
355,23.73,279.25,52.11,135.88,Y
356,26.82,273.03,57.18,132.71,Y
357,29.66,282.04,57.63,133.46,N
358,22.92,272.32,52.69,137.55,Y
359,28.05,278.19,52.25,135.9,Y
360,21.89,277.07,56.51,136.49,Y
361,28.83,274.6,53.33,132.77,Y
362,22.77,273.79,52.61,135.33,Y
363,26.8,277.62,53.94,137.08,Y
364,24.79,280.55,53.7,138.35,Y
365,23.95,281.11,52.43,132.66,Y
366,30.21,280.85,53.54,137.65,Y
367,20.76,272.22,52.03,134.19,Y
368,21.21,275.78,55.1,138.53,N
369,26.11,281.76,56.94,133.82,Y
370,28.27,281.46,54.39,134.61,Y
371,20.81,277.97,52.78,135.98,Y
372,25.28,272.67,57.4,136.58,Y
373,24.89,274.46,52.79,136.94,Y
374,26.59,274.15,55.58,136.54,Y
375,29.18,277.46,56.64,135.46,Y
376,25.99,276.25,54.92,136.51,Y
377,27.19,275.9,53.43,137.62,Y
378,22.41,275.32,52.54,133.39,Y
379,28,274.39,56.1,135.63,Y
380,21.75,278.22,55.61,134.33,Y
381,23.09,272.16,57.48,136.53,Y
382,23.75,277.94,54.89,135.8,Y
383,25.36,277.7,54.61,133.88,Y
384,21.7,275.99,54.52,135.02,Y
385,24.85,274.51,56.3,136.44,Y
386,30.29,275.02,57.71,135.91,Y
387,29.1,280.21,56.68,133.07,Y
388,23.43,276.51,52.03,136.27,Y
389,28.48,273.35,54.89,134.87,Y
390,22.07,274.48,53.63,138.2,Y
391,26.82,280.29,53.5,134.68,Y
392,20.75,281.95,53.8,138.06,N
393,29.6,276.27,54.22,132.85,Y
394,22.36,279.2,53.77,136.81,Y
395,23.63,275.48,56.69,136.72,Y
396,28.94,280.04,57.02,134.82,Y
397,28.23,273.69,51.91,134.88,Y
398,27.67,282.04,55.55,132.84,N
399,24.13,272.5,55.97,137.64,Y
400,24.55,278.59,55.47,133.93,Y
401,24.79,277.06,53.27,135.55,Y
402,22.43,274.46,55.5,136.19,Y
403,22.58,280.28,57.34,138.45,N
404,24.64,276.81,54.86,136.26,Y
405,23.91,282.01,57.61,138.08,N
406,28.26,280.27,54.59,134.58,Y
407,22.34,272.7,54.52,134.68,Y
408,24.57,274.35,53.55,135.86,Y
409,23,280.67,53.24,132.69,Y
410,21.52,278.43,55.7,136.78,Y
411,22.08,276.19,56.55,133.91,Y
412,23.23,273.9,55.5,136.29,Y
413,24.28,281.47,53.83,134.29,Y
414,26.85,272.33,55.33,136.21,Y
415,21.09,277.06,55.96,134.03,Y
416,24.13,280.37,55.61,134.88,Y
417,28.16,274.27,54.98,133.15,Y
418,25.47,278.69,57.36,135.8,Y
419,28.3,279.21,54.43,137.53,Y
420,29.55,274.62,54.52,135.69,Y
421,21.05,280.04,53.89,138.34,Y
422,25.2,279.46,56.32,136.12,Y
423,29.84,273.01,53.74,133.9,Y
424,27.75,279.3,53.44,133.18,Y
425,27.99,279.5,56.95,134.13,Y
426,26.23,276.56,57.01,132.8,Y
427,26.05,273.69,56.26,136.21,Y
428,27.09,278,53.83,136.06,Y
429,23.34,281.01,53.3,135.8,Y
430,28.6,272.98,53.73,134.69,Y
431,25.95,282.06,51.89,134.06,N
432,21.01,277.16,57.6,138.37,Y
433,25.78,275.87,52.98,138.6,N
434,27.87,272.64,55.56,137.3,Y
435,21.86,278.86,53.41,137.39,Y
436,25.47,279.92,56.18,136.68,Y
437,23.01,273.95,52.6,132.76,Y
438,21.17,279.69,57.73,133.41,Y
439,27.26,272.53,57.26,133.44,Y
440,30.32,281.98,57.13,138.46,N
441,21.46,278.46,55.75,138.16,Y
442,25.72,274.14,55.35,135.81,Y
443,28.77,276.16,54.53,133.17,Y
444,23.85,275.95,54.63,135.9,Y
445,24.08,277.54,55.14,133.74,Y
446,29.97,273.37,53.77,134.05,Y
447,24.59,273.35,54.62,135.71,Y
448,29.11,279.3,56.55,137.91,Y
449,22.21,275.05,55.67,134.94,Y
450,27.29,276.75,53.93,132.97,Y
451,28.82,280.63,54.49,136.98,Y
452,23.14,281.66,54.17,135.05,Y
453,21.72,281.54,55.05,137.44,Y
454,27.59,281.15,52.18,137.66,Y
455,27.27,275.39,54.46,132.65,Y
456,30.29,273.49,54.02,136.72,Y
457,24.71,278.94,53.12,134.03,Y
458,25.25,274.93,52,133.61,Y
459,26.78,272.75,55.13,135.89,Y
460,24.07,279.85,57.21,135.88,Y
461,28.72,280.11,54.05,133.14,Y
462,21.97,272.56,55.2,135.13,Y
463,25.9,279.17,57.69,132.85,Y
464,25.91,279.91,52.54,136.99,Y
465,29.51,273.62,53.92,135.41,Y
466,21.09,276.48,54.43,135.9,Y
467,22.49,277.5,52.23,133.6,Y
468,22.82,274.23,57.11,132.73,Y
469,23.57,278.93,53.35,138.22,Y
470,30.33,278.25,53.73,136.66,Y
471,24.52,278.82,56.87,138.61,N
472,24.05,277.38,53.7,133.75,Y
473,28.4,273.16,54.34,135.61,Y
474,22.22,277.62,53.14,136.96,Y
475,29.19,276.07,53.34,133.22,Y
476,23.04,272.78,57.36,134.79,Y
477,22.4,275.08,55.43,132.75,Y
478,24.18,272.7,56.8,132.65,Y
479,28,273.27,57.53,135.75,Y
480,22.3,280.02,56.25,135.3,Y
481,25.69,279.88,56,133.54,Y
482,25.74,278.32,54.79,133.75,Y
483,24.27,276.79,53.27,137.02,Y
484,24.35,276.27,56.16,135.88,Y
485,24.89,274,54.76,136.23,Y
486,30.26,281.69,56.19,132.79,Y
487,23.13,274.06,52.55,137.79,Y
488,23.55,272.41,53.97,133.95,Y
489,25.73,279.84,51.93,132.7,Y
490,25.54,277.53,53.49,135.94,Y
491,26,281.21,57.25,136.2,Y
492,23.69,278.37,54.58,135.67,Y
493,24.68,281.98,52.63,138.59,N
494,21.93,278.22,57.01,137.13,Y
495,21.65,274.13,56.27,135.39,Y
496,26.49,281.92,55.56,133.13,N
497,22.43,273,52.84,136.04,Y
498,26.6,274.59,55.49,134.14,Y
499,29.94,279.78,57.64,134.81,Y
0,25.58212,276.98932,54.764,135.69082,
1,2.921350357,2.884013789,1.673610468,1.738341833,
