,mold_temp,melt_temp,hold_pressure,injection_speed,defect,,
88,22.71,277.67,56.18,135.22,Y,,
89,25.7,274.18,54.01,133.76,Y,,
90,24,279.2,57.57,132.03,Y,,
91,26.74,274.12,58.11,133.82,Y,,
92,26.86,276.31,54.43,135.63,Y,,
93,31.28,271.9,55.89,133.72,N,,
94,21.78,273.7,57.01,136.61,Y,,
95,24.32,279.2,54.79,133.9,Y,,
96,24.19,279.25,55.89,134.58,Y,,
97,28.73,270.49,55.55,132.39,Y,,
98,22.15,278.48,57.37,132.08,Y,,
99,22.51,276.49,54.8,134.23,Y,,
100,28.08,276.35,57.13,137.02,Y,,
101,24.33,271.27,56.94,132.91,Y,,
102,31.05,272.66,55.89,134.5,N,,
103,29.99,273.09,56.21,132.82,Y,,
104,25.8,276.98,53.48,135.8,Y,,
105,25.31,278.87,58.88,137.42,N,,
106,23.65,270.43,53.94,134.89,Y,,
107,25.53,274.63,57.14,135.88,Y,,
108,25.15,270.67,57.3,135.03,Y,,
109,28.41,270.11,55.02,134.19,N,,
110,23.75,278.03,54.55,136.37,Y,,
111,23.09,273.5,56.36,132.93,Y,,
112,24.39,275.41,54.86,135.75,Y,,
113,30.28,273.41,57.15,132.2,Y,,
114,30.34,278.51,57.37,136.91,Y,,
115,23.87,277.19,53.48,134.66,Y,,
116,31.12,277.28,56.59,134.48,N,,
117,24.38,276.57,56.57,137.74,Y,,
118,27.3,277.32,55.32,136.16,Y,,
119,29.27,277.18,55.97,132.34,Y,,
120,21.4,272.98,54.77,137.33,Y,,
121,22.21,275.33,57.39,135.87,Y,,
122,26.76,278.1,58.64,134.5,N,,
123,21.49,278.06,58.29,134.39,Y,,
124,23.16,279.53,58.96,134.98,N,,
125,21.87,269.79,53.67,132.81,N,,
126,26.52,270.2,53.92,136.19,Y,,
127,22.99,275.11,55.55,132.77,Y,,
128,28.33,273.34,54.3,133.14,Y,,
129,27.46,279.03,54.9,135.89,Y,,
130,21.48,278.08,55.33,137.7,Y,,
131,23.79,279.24,54.73,134.12,Y,,
132,24.68,273.15,56.65,135.25,Y,,
133,24.95,275.89,56.15,137.1,Y,,
134,21.57,273.68,56.98,133.59,Y,,
135,29.74,273.45,53.23,132.31,Y,,
136,30.35,272.54,55.34,137.38,Y,,
137,23.96,279.51,54.29,137.22,Y,,
138,25.69,277.69,58.59,134.28,Y,,
139,22.89,279.47,55.58,134.92,Y,,
140,27.82,277.31,58.65,134.22,N,,
141,21.99,278.19,55.95,133.48,Y,,
142,29.29,270.44,58.1,137.23,Y,,
143,30.82,269.69,58.58,132.42,N,,
144,27.65,279.07,58.63,132.5,Y,,
145,25.39,273.35,55.29,132.38,Y,,
146,28.43,273.44,58.41,134.39,Y,,
147,26.91,273,56.43,135.95,Y,,
148,23.23,277.38,58.68,135.52,N,,
149,25.24,278.63,53.49,136.53,Y,,
150,30.61,273.4,55.97,135.29,Y,,
151,28.87,272.54,54.97,137.95,Y,,
152,25.39,278.71,58.71,133.46,N,,
153,26.91,270.03,56.03,135.02,N,,
154,26.74,270.08,58.47,134.59,N,,
155,25.05,269.76,55.9,137.67,N,,
156,30.93,278.52,55.83,136.01,N,,
157,31.18,279.05,58.06,137.52,N,,
158,26.22,271.94,58.29,135.64,Y,,
159,29.11,276.23,57.18,137.19,Y,,
160,23.37,274.37,54.49,136.44,Y,,
161,29.21,275.15,53.65,134.87,Y,,
162,24.44,278.45,58.28,135.32,Y,,
163,21.51,277.37,56.66,136.76,Y,,
164,21.54,276.9,53.13,132.04,Y,,
165,28.03,270.93,55.3,134.78,Y,,
166,28.94,271.33,54.54,132.64,Y,,
167,23.8,277.04,56.8,134.29,Y,,
168,27.21,270.44,56.93,136.5,Y,,
169,30.78,273.81,53.22,135.69,N,,
170,25.15,274.9,58.3,137.31,Y,,
171,25.04,278.92,58.04,132.82,Y,,
172,29.43,273.71,56.14,135.25,Y,,
173,31.1,271.08,58.45,135.09,N,,
174,28.9,274.33,56.91,133.1,Y,,
175,25.63,273.66,54.96,137.37,Y,,
176,26.67,272.84,55.54,132.2,Y,,
177,21.64,276.53,54.83,132.11,Y,,
178,28.92,276.5,56.29,132.35,Y,,
179,21.87,269.82,54.49,132.7,N,,
180,26.17,272.85,58.1,132.91,Y,,
181,24.01,279.06,55.77,136.95,Y,,
182,26.08,276.9,53.84,137.49,Y,,
183,22.63,270.94,54.52,134.72,Y,,
184,29.23,269.74,58.28,137.36,N,,
185,22.85,274.15,54.26,135.34,Y,,
186,29.81,274.35,55.95,136.24,Y,,
187,31.05,270.05,54.6,136.58,N,,
188,23.13,271.58,53.85,137.33,Y,,
189,25.56,272.88,53.2,132.59,Y,,
190,26.97,274.07,56.14,132.32,Y,,
191,27.95,277.2,54.32,135.15,Y,,
192,26.45,270.54,55.15,133.67,Y,,
193,28.98,278.57,53.66,135.48,Y,,
194,27.98,271.91,54.77,136.26,Y,,
195,29.41,274.24,58.95,134.1,N,,
196,24.84,273.59,58.33,132.94,Y,,
197,29.85,275.34,58.89,136.63,N,,
198,24.16,272.72,54.67,136.09,Y,,
199,21.47,271.44,57.32,134.05,Y,,
200,26.15,278.5,55.67,137.77,Y,,
201,21.79,273.58,56.25,137.49,Y,,
202,21.82,273.21,53.34,133.68,Y,,
203,25.73,274.56,54.76,136.96,Y,,
204,28.31,275.91,57.62,134.98,Y,,
205,21.62,272.5,53.87,132.9,Y,,
206,25,269.72,54.28,133.99,N,,
207,26.01,271.28,57.69,135.14,Y,,
208,23.64,275.7,58.57,133.09,Y,,
209,27.63,272.36,58.6,136.19,Y,,
210,30.26,270.51,58.51,132.65,Y,,
211,25.09,274.44,53.73,133.58,Y,,
212,29.07,269.89,53.51,132.85,N,,
213,24.04,275.14,56.29,133.36,Y,,
214,23.44,275.06,55.14,132.94,Y,,
215,24.62,279.52,58.54,135.41,Y,,
216,22.38,277.98,55.52,137.48,Y,,
217,26.01,277.6,55.9,135.5,Y,,
218,25.99,272.09,54.89,134.66,Y,,
219,26.08,277.61,53.98,137.78,Y,,
220,28.66,273.46,57.14,136.65,Y,,
221,30.51,277.86,58.72,137.83,N,,
222,25.85,276.8,58.31,136.18,Y,,
223,27.32,271.84,55.29,137.37,Y,,
224,27.08,278.28,55.98,137.75,Y,,
225,27.76,271.34,54.06,135.1,Y,,
226,30.5,277.11,58.03,136.72,Y,,
227,21.37,279.45,58.51,132.81,Y,,
228,21.85,271.19,58.18,134.97,Y,,
229,28.69,276.36,54.54,135.78,Y,,
230,21.8,277.63,56.72,135.6,Y,,
231,21.57,278.33,58.39,132.91,Y,,
232,27.27,275.54,53.23,133.01,Y,,
233,23.12,277.74,58.15,136.72,Y,,
234,29.91,274.91,58.66,133.1,N,,
235,26.9,273.46,56.03,133.13,Y,,
236,22.21,276.89,53.59,132.06,Y,,
237,26.79,270.49,55.02,135.92,Y,,
238,27.9,272.01,53.62,135.77,Y,,
239,28.14,269.7,58.95,137.24,N,,
240,31.22,278.86,57.9,132.71,N,,
241,24.47,270.21,56.31,137.32,Y,,
242,26.48,273.66,58.68,137.55,N,,
243,22.49,271.92,56.42,133.42,Y,,
244,29.63,271.25,53.74,132.08,Y,,
245,27.88,277.43,56.13,136.07,Y,,
246,23.5,276.67,55.16,137.63,Y,,
247,28.1,270.82,53.52,135.49,Y,,
248,27.09,274.1,54.8,135.8,Y,,
249,27.35,270.96,56.58,132.48,Y,,
250,26.51,277.34,58.66,136.9,N,,
251,26.06,269.9,57.83,132.87,N,,
252,22.69,278.35,55.45,136.27,Y,,
253,21.81,273.01,55.81,133.89,Y,,
254,21.55,278.07,57.66,135.51,Y,,
255,28.74,274.78,53.56,134.05,Y,,
256,29.22,276.8,56.89,135.36,Y,,
257,22.14,270.38,53.58,132.85,Y,,
258,24.1,278.15,54.68,133.77,Y,,
259,21.35,279.07,54.41,133.87,Y,,
260,28.71,279.01,53.89,132,Y,,
261,24.31,272.34,59.07,132.4,N,,
262,25.04,278.3,57.3,136.7,Y,,
263,22.61,272.83,58.26,132.98,Y,,
264,26.03,270.8,57.77,133.41,Y,,
265,29.72,271.93,58.86,133.59,N,,
266,29.95,276.15,56.6,134.86,Y,,
267,26.13,275.13,55.23,133.96,Y,,
268,22.03,276.77,53.56,134.26,Y,,
269,25.06,270.45,55.09,136.58,Y,,
270,29.32,274.45,56.76,132.62,Y,,
271,27.46,272.07,56.08,137.72,Y,,
272,26.83,276.28,53.82,137.22,Y,,
273,29.93,275.75,56.69,136.17,Y,,
274,23.97,275.81,55.35,136.82,Y,,
275,21.38,269.75,56.57,132.02,N,,
276,22.2,276.53,57.66,136.59,Y,,
277,24.18,277.99,56.42,133.1,Y,,
278,30.21,273.95,53.79,137.55,Y,,
279,27.08,277.41,58.62,136.1,Y,,
280,30.4,274.01,54.34,132.5,Y,,
281,27.05,272.94,55.01,136.74,Y,,
282,31.01,275.53,58.99,134.08,N,,
283,24.73,277.46,58.02,135.7,Y,,
284,27.25,269.99,57.37,136.41,N,,
285,24.01,271.67,56.49,132.05,Y,,
286,23.19,277.86,54.51,137.47,Y,,
287,26.19,279.21,58.1,135.62,Y,,
288,30.8,270.82,54.62,134.94,N,,
289,24.14,270.22,56.79,133.85,Y,,
290,25.74,275.89,57.61,134.81,Y,,
291,28.17,278.22,56.39,135.09,Y,,
292,30.17,276.07,57.18,137.49,Y,,
293,26.13,277.73,53.7,137.3,Y,,
294,21.57,279.28,55.6,132.52,Y,,
295,22.5,273.32,56.73,132.16,Y,,
296,28.56,275.87,55.71,132.26,Y,,
297,29.68,277.45,55.47,134.56,Y,,
298,24.25,275.44,54.84,135.72,Y,,
299,26.95,277.45,57.49,134.91,Y,,
0,25.97336667,274.6785,56.04963333,134.9173333,,,
1,2.835667881,2.98551605,1.729560695,1.763109816,,,
